f,Trace 1,Trace 2,Trace 3
0.000, -3.86840e+01, -2.14748e+06, -2.14748e+06
50000.000, -3.77290e+01, -2.14748e+06, -2.14748e+06
100000.000, -3.70220e+01, -2.14748e+06, -2.14748e+06
150000.000, -4.02010e+01, -2.14748e+06, -2.14748e+06
200000.000, -4.74920e+01, -2.14748e+06, -2.14748e+06
250000.000, -5.12220e+01, -2.14748e+06, -2.14748e+06
300000.000, -4.87160e+01, -2.14748e+06, -2.14748e+06
350000.000, -4.76270e+01, -2.14748e+06, -2.14748e+06
400000.000, -5.13660e+01, -2.14748e+06, -2.14748e+06
450000.000, -5.19100e+01, -2.14748e+06, -2.14748e+06
500000.000, -5.55950e+01, -2.14748e+06, -2.14748e+06
550000.000, -5.93280e+01, -2.14748e+06, -2.14748e+06
600000.000, -5.95090e+01, -2.14748e+06, -2.14748e+06
650000.000, -6.08760e+01, -2.14748e+06, -2.14748e+06
700000.000, -6.34480e+01, -2.14748e+06, -2.14748e+06
750000.000, -6.39450e+01, -2.14748e+06, -2.14748e+06
800000.000, -6.24330e+01, -2.14748e+06, -2.14748e+06
850000.000, -6.04970e+01, -2.14748e+06, -2.14748e+06
900000.000, -5.86630e+01, -2.14748e+06, -2.14748e+06
950000.000, -5.90430e+01, -2.14748e+06, -2.14748e+06
1000000.000, -5.93340e+01, -2.14748e+06, -2.14748e+06
1050000.000, -5.89060e+01, -2.14748e+06, -2.14748e+06
1100000.000, -6.12260e+01, -2.14748e+06, -2.14748e+06
1150000.000, -6.20130e+01, -2.14748e+06, -2.14748e+06
1200000.000, -6.15180e+01, -2.14748e+06, -2.14748e+06
1250000.000, -6.23270e+01, -2.14748e+06, -2.14748e+06
1300000.000, -6.44500e+01, -2.14748e+06, -2.14748e+06
1350000.000, -6.65260e+01, -2.14748e+06, -2.14748e+06
1400000.000, -6.87450e+01, -2.14748e+06, -2.14748e+06
1450000.000, -6.98930e+01, -2.14748e+06, -2.14748e+06
1500000.000, -6.93260e+01, -2.14748e+06, -2.14748e+06
1550000.000, -6.73210e+01, -2.14748e+06, -2.14748e+06
1600000.000, -6.57680e+01, -2.14748e+06, -2.14748e+06
1650000.000, -6.55190e+01, -2.14748e+06, -2.14748e+06
1700000.000, -6.51200e+01, -2.14748e+06, -2.14748e+06
1750000.000, -6.52890e+01, -2.14748e+06, -2.14748e+06
1800000.000, -6.76700e+01, -2.14748e+06, -2.14748e+06
1850000.000, -6.85370e+01, -2.14748e+06, -2.14748e+06
1900000.000, -6.86340e+01, -2.14748e+06, -2.14748e+06
1950000.000, -6.94240e+01, -2.14748e+06, -2.14748e+06
2000000.000, -7.04300e+01, -2.14748e+06, -2.14748e+06
2050000.000, -7.00150e+01, -2.14748e+06, -2.14748e+06
2100000.000, -6.93020e+01, -2.14748e+06, -2.14748e+06
2150000.000, -6.85510e+01, -2.14748e+06, -2.14748e+06
2200000.000, -6.81230e+01, -2.14748e+06, -2.14748e+06
2250000.000, -6.77020e+01, -2.14748e+06, -2.14748e+06
2300000.000, -6.68100e+01, -2.14748e+06, -2.14748e+06
2350000.000, -6.67270e+01, -2.14748e+06, -2.14748e+06
2400000.000, -6.78740e+01, -2.14748e+06, -2.14748e+06
2450000.000, -6.72620e+01, -2.14748e+06, -2.14748e+06
2500000.000, -6.79730e+01, -2.14748e+06, -2.14748e+06
2550000.000, -6.88010e+01, -2.14748e+06, -2.14748e+06
2600000.000, -6.94090e+01, -2.14748e+06, -2.14748e+06
2650000.000, -6.85050e+01, -2.14748e+06, -2.14748e+06
2700000.000, -6.69990e+01, -2.14748e+06, -2.14748e+06
2750000.000, -6.66240e+01, -2.14748e+06, -2.14748e+06
2800000.000, -6.73390e+01, -2.14748e+06, -2.14748e+06
2850000.000, -6.81770e+01, -2.14748e+06, -2.14748e+06
2900000.000, -6.86600e+01, -2.14748e+06, -2.14748e+06
2950000.000, -6.76780e+01, -2.14748e+06, -2.14748e+06
3000000.000, -6.63470e+01, -2.14748e+06, -2.14748e+06
3050000.000, -6.63890e+01, -2.14748e+06, -2.14748e+06
3100000.000, -6.89090e+01, -2.14748e+06, -2.14748e+06
3150000.000, -7.00190e+01, -2.14748e+06, -2.14748e+06
3200000.000, -7.18110e+01, -2.14748e+06, -2.14748e+06
3250000.000, -7.26920e+01, -2.14748e+06, -2.14748e+06
3300000.000, -7.30070e+01, -2.14748e+06, -2.14748e+06
3350000.000, -7.25180e+01, -2.14748e+06, -2.14748e+06
3400000.000, -7.23290e+01, -2.14748e+06, -2.14748e+06
3450000.000, -7.16280e+01, -2.14748e+06, -2.14748e+06
3500000.000, -7.10080e+01, -2.14748e+06, -2.14748e+06
3550000.000, -7.07050e+01, -2.14748e+06, -2.14748e+06
3600000.000, -7.00720e+01, -2.14748e+06, -2.14748e+06
3650000.000, -7.04080e+01, -2.14748e+06, -2.14748e+06
3700000.000, -7.19110e+01, -2.14748e+06, -2.14748e+06
3750000.000, -7.30070e+01, -2.14748e+06, -2.14748e+06
3800000.000, -7.34570e+01, -2.14748e+06, -2.14748e+06
3850000.000, -7.32610e+01, -2.14748e+06, -2.14748e+06
3900000.000, -7.33870e+01, -2.14748e+06, -2.14748e+06
3950000.000, -7.29690e+01, -2.14748e+06, -2.14748e+06
4000000.000, -7.23200e+01, -2.14748e+06, -2.14748e+06
4050000.000, -7.23560e+01, -2.14748e+06, -2.14748e+06
4100000.000, -7.30700e+01, -2.14748e+06, -2.14748e+06
4150000.000, -7.31980e+01, -2.14748e+06, -2.14748e+06
4200000.000, -7.31360e+01, -2.14748e+06, -2.14748e+06
4250000.000, -7.34910e+01, -2.14748e+06, -2.14748e+06
4300000.000, -7.33580e+01, -2.14748e+06, -2.14748e+06
4350000.000, -7.36900e+01, -2.14748e+06, -2.14748e+06
4400000.000, -7.37920e+01, -2.14748e+06, -2.14748e+06
4450000.000, -7.34570e+01, -2.14748e+06, -2.14748e+06
4500000.000, -7.34110e+01, -2.14748e+06, -2.14748e+06
4550000.000, -7.32090e+01, -2.14748e+06, -2.14748e+06
4600000.000, -7.30070e+01, -2.14748e+06, -2.14748e+06
4650000.000, -7.28840e+01, -2.14748e+06, -2.14748e+06
4700000.000, -7.31480e+01, -2.14748e+06, -2.14748e+06
4750000.000, -7.34580e+01, -2.14748e+06, -2.14748e+06
4800000.000, -7.36480e+01, -2.14748e+06, -2.14748e+06
4850000.000, -7.39680e+01, -2.14748e+06, -2.14748e+06
4900000.000, -7.36140e+01, -2.14748e+06, -2.14748e+06
4950000.000, -7.33570e+01, -2.14748e+06, -2.14748e+06
5000000.000, -7.33260e+01, -2.14748e+06, -2.14748e+06
5050000.000, -7.33190e+01, -2.14748e+06, -2.14748e+06
5100000.000, -7.32440e+01, -2.14748e+06, -2.14748e+06
5150000.000, -7.29750e+01, -2.14748e+06, -2.14748e+06
5200000.000, -7.22940e+01, -2.14748e+06, -2.14748e+06
5250000.000, -7.20050e+01, -2.14748e+06, -2.14748e+06
5300000.000, -7.23700e+01, -2.14748e+06, -2.14748e+06
5350000.000, -7.30320e+01, -2.14748e+06, -2.14748e+06
5400000.000, -7.31030e+01, -2.14748e+06, -2.14748e+06
5450000.000, -7.34540e+01, -2.14748e+06, -2.14748e+06
5500000.000, -7.34540e+01, -2.14748e+06, -2.14748e+06
5550000.000, -7.35510e+01, -2.14748e+06, -2.14748e+06
5600000.000, -7.35470e+01, -2.14748e+06, -2.14748e+06
5650000.000, -7.35200e+01, -2.14748e+06, -2.14748e+06
5700000.000, -7.35240e+01, -2.14748e+06, -2.14748e+06
5750000.000, -7.29820e+01, -2.14748e+06, -2.14748e+06
5800000.000, -7.20060e+01, -2.14748e+06, -2.14748e+06
5850000.000, -7.17380e+01, -2.14748e+06, -2.14748e+06
5900000.000, -7.26610e+01, -2.14748e+06, -2.14748e+06
5950000.000, -7.33820e+01, -2.14748e+06, -2.14748e+06
6000000.000, -7.34810e+01, -2.14748e+06, -2.14748e+06
6050000.000, -7.36790e+01, -2.14748e+06, -2.14748e+06
6100000.000, -7.39660e+01, -2.14748e+06, -2.14748e+06
6150000.000, -7.42060e+01, -2.14748e+06, -2.14748e+06
6200000.000, -7.45630e+01, -2.14748e+06, -2.14748e+06
6250000.000, -7.47060e+01, -2.14748e+06, -2.14748e+06
6300000.000, -7.42400e+01, -2.14748e+06, -2.14748e+06
6350000.000, -7.41440e+01, -2.14748e+06, -2.14748e+06
6400000.000, -7.37790e+01, -2.14748e+06, -2.14748e+06
6450000.000, -7.35530e+01, -2.14748e+06, -2.14748e+06
6500000.000, -7.34330e+01, -2.14748e+06, -2.14748e+06
6550000.000, -7.32800e+01, -2.14748e+06, -2.14748e+06
6600000.000, -7.34910e+01, -2.14748e+06, -2.14748e+06
6650000.000, -7.35890e+01, -2.14748e+06, -2.14748e+06
6700000.000, -7.38450e+01, -2.14748e+06, -2.14748e+06
6750000.000, -7.42320e+01, -2.14748e+06, -2.14748e+06
6800000.000, -7.44950e+01, -2.14748e+06, -2.14748e+06
6850000.000, -7.46480e+01, -2.14748e+06, -2.14748e+06
6900000.000, -7.46670e+01, -2.14748e+06, -2.14748e+06
6950000.000, -7.44290e+01, -2.14748e+06, -2.14748e+06
7000000.000, -7.43780e+01, -2.14748e+06, -2.14748e+06
7050000.000, -7.39850e+01, -2.14748e+06, -2.14748e+06
7100000.000, -7.36690e+01, -2.14748e+06, -2.14748e+06
7150000.000, -7.40290e+01, -2.14748e+06, -2.14748e+06
7200000.000, -7.39080e+01, -2.14748e+06, -2.14748e+06
7250000.000, -7.40830e+01, -2.14748e+06, -2.14748e+06
7300000.000, -7.42300e+01, -2.14748e+06, -2.14748e+06
7350000.000, -7.40790e+01, -2.14748e+06, -2.14748e+06
7400000.000, -7.42550e+01, -2.14748e+06, -2.14748e+06
7450000.000, -7.45790e+01, -2.14748e+06, -2.14748e+06
7500000.000, -7.42540e+01, -2.14748e+06, -2.14748e+06
7550000.000, -7.42080e+01, -2.14748e+06, -2.14748e+06
7600000.000, -7.42360e+01, -2.14748e+06, -2.14748e+06
7650000.000, -7.40480e+01, -2.14748e+06, -2.14748e+06
7700000.000, -7.37740e+01, -2.14748e+06, -2.14748e+06
7750000.000, -7.38850e+01, -2.14748e+06, -2.14748e+06
7800000.000, -7.37280e+01, -2.14748e+06, -2.14748e+06
7850000.000, -7.37900e+01, -2.14748e+06, -2.14748e+06
7900000.000, -7.38800e+01, -2.14748e+06, -2.14748e+06
7950000.000, -7.40620e+01, -2.14748e+06, -2.14748e+06
8000000.000, -7.40850e+01, -2.14748e+06, -2.14748e+06
8050000.000, -7.42820e+01, -2.14748e+06, -2.14748e+06
8100000.000, -7.44640e+01, -2.14748e+06, -2.14748e+06
8150000.000, -7.43970e+01, -2.14748e+06, -2.14748e+06
8200000.000, -7.41000e+01, -2.14748e+06, -2.14748e+06
8250000.000, -7.40880e+01, -2.14748e+06, -2.14748e+06
8300000.000, -7.40680e+01, -2.14748e+06, -2.14748e+06
8350000.000, -7.41920e+01, -2.14748e+06, -2.14748e+06
8400000.000, -7.44050e+01, -2.14748e+06, -2.14748e+06
8450000.000, -7.42410e+01, -2.14748e+06, -2.14748e+06
8500000.000, -7.43680e+01, -2.14748e+06, -2.14748e+06
8550000.000, -7.44090e+01, -2.14748e+06, -2.14748e+06
8600000.000, -7.44500e+01, -2.14748e+06, -2.14748e+06
8650000.000, -7.42690e+01, -2.14748e+06, -2.14748e+06
8700000.000, -7.45360e+01, -2.14748e+06, -2.14748e+06
8750000.000, -7.46150e+01, -2.14748e+06, -2.14748e+06
8800000.000, -7.42990e+01, -2.14748e+06, -2.14748e+06
8850000.000, -7.44310e+01, -2.14748e+06, -2.14748e+06
8900000.000, -7.45130e+01, -2.14748e+06, -2.14748e+06
8950000.000, -7.45090e+01, -2.14748e+06, -2.14748e+06
9000000.000, -7.45620e+01, -2.14748e+06, -2.14748e+06
9050000.000, -7.47070e+01, -2.14748e+06, -2.14748e+06
9100000.000, -7.45460e+01, -2.14748e+06, -2.14748e+06
9150000.000, -7.49260e+01, -2.14748e+06, -2.14748e+06
9200000.000, -7.46240e+01, -2.14748e+06, -2.14748e+06
9250000.000, -7.45260e+01, -2.14748e+06, -2.14748e+06
9300000.000, -7.44330e+01, -2.14748e+06, -2.14748e+06
9350000.000, -7.47430e+01, -2.14748e+06, -2.14748e+06
9400000.000, -7.43380e+01, -2.14748e+06, -2.14748e+06
9450000.000, -7.43750e+01, -2.14748e+06, -2.14748e+06
9500000.000, -7.43940e+01, -2.14748e+06, -2.14748e+06
9550000.000, -7.46250e+01, -2.14748e+06, -2.14748e+06
9600000.000, -7.43190e+01, -2.14748e+06, -2.14748e+06
9650000.000, -7.44830e+01, -2.14748e+06, -2.14748e+06
9700000.000, -7.43400e+01, -2.14748e+06, -2.14748e+06
9750000.000, -7.47630e+01, -2.14748e+06, -2.14748e+06
9800000.000, -7.45760e+01, -2.14748e+06, -2.14748e+06
9850000.000, -7.47110e+01, -2.14748e+06, -2.14748e+06
9900000.000, -7.48260e+01, -2.14748e+06, -2.14748e+06
9950000.000, -7.45950e+01, -2.14748e+06, -2.14748e+06
